level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1334	1412	-1	
2	1	1	0	0	0	72	2	710	256	-1	
3	1	1	1	0	0	72	2	712	256	-1	
4	1	1	1	1	0	72	2	710	256	-1	
5	1	1	1	1	1	72	2	65	254	36.442566	:
5	1	1	1	1	2	184	113	598	145	95.426491	Invoice
2	1	2	0	0	0	69	291	817	20	-1	
3	1	2	1	0	0	69	291	817	20	-1	
4	1	2	1	1	0	69	291	817	20	-1	
5	1	2	1	1	1	69	292	48	16	96.301270	Your
5	1	2	1	1	2	123	292	96	19	95.692215	Company
5	1	2	1	1	3	226	292	32	16	95.692215	LLC
5	1	2	1	1	4	264	291	80	17	96.344116	Address
5	1	2	1	1	5	351	292	41	19	96.620903	123,
5	1	2	1	1	6	399	292	56	19	96.514244	State,
5	1	2	1	1	7	464	292	30	19	96.591835	My
5	1	2	1	1	8	501	292	78	19	93.282997	Country
5	1	2	1	1	9	587	292	10	16	92.885193	P
5	1	2	1	1	10	605	292	130	19	93.298073	111-222-333,
5	1	2	1	1	11	744	292	9	16	93.238373	F
5	1	2	1	1	12	761	292	125	16	96.790962	111-222-334
2	1	3	0	0	0	69	502	314	150	-1	
3	1	3	1	0	0	70	502	80	16	-1	
4	1	3	1	1	0	70	502	80	16	-1	
5	1	3	1	1	1	70	498	41	30	85.857658	BILL
5	1	3	1	1	2	118	502	32	16	85.857658	TO:
3	1	3	2	0	0	69	533	92	17	-1	
4	1	3	2	1	0	69	533	92	17	-1	
5	1	3	2	1	1	69	533	46	17	95.525803	John
5	1	3	2	1	2	123	534	38	16	96.271858	Doe
3	1	3	3	0	0	69	564	207	23	-1	
4	1	3	3	1	0	69	564	207	23	-1	
5	1	3	3	1	1	69	564	56	23	96.802345	Alpha
5	1	3	3	1	2	134	566	56	16	97.009956	Bravo
5	1	3	3	1	3	197	564	48	18	96.982773	Road
5	1	3	3	1	4	253	566	23	16	96.991074	33
3	1	3	4	0	0	70	599	313	53	-1	
4	1	3	4	1	0	70	599	313	19	-1	
